Nombre para mostrar;Clr Clb Newucmdb;Clr Service Code;Subtipo;Grupo de administración de configuración;Clr Istatus;Título;Comentarios;Clr Arr Location;Fecha y hora de modificación del sistema
"ucsttu4203";"true";"TTU4203";"Windows";"Datacenter - Admin Microsoft";"(activo)";"CORE";"Servers Tarificador PCsistel 4.0";"CLT202_TELEFONIAB200M3_ORTEZAL | Virtualization Layer Software (d-ttu6219-oax03-1704-b200m3)";"18/02/23 21:09:44"
"prue-ifswebn";"true";"SQH0537";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTA // TRIARA // HOSTING (HOSTING VIRTUAL)";"CLT137_TRI_DED_SPN472_ACI | Virtualization Layer Software (d-sqh0415-fat38-29-r640)";"18/02/23 21:14:59"
"hesiodo";"true";"FLP0041";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERCIAL CORPO // CORREO //   HOSTING (HOSTING VIRTUAL)//NO APLICA//MEDELLÍN//MEGACENTER";"CLT306_TRI_COM_OCTADECACORE02_FP | Virtualization Layer Software (c-tfm2440-cn05-0213-ch121v3.datacentedhs.local)";"17/02/23 22:34:12"
"sipostweb2n";"true";"SQH0099";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOAV CORP// MAIL// SERVIDOR VIRTUAL 2 - TRIARA // SIPOSTWEB2";"CLT137_TRI_DED_SPN472_ACI | Virtualization Layer Software (d-sqh0416-faz05-28-r640)";"27/02/23 22:44:01"
"negsa-zl84430aj";"true";"CMREY106";"Windows";"Datacenter - Admin Microsoft";"(activo)";"";"";"";"28/02/23 21:10:59"
"att4027-app3";"true";"ATT4027";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // Hosting Dedicado // Datacenter Triara // ATT4027";"CLT222_TRI_INT_INFRAESTRUCTURA | Virtualization Layer Software (d-tfm2946-gae15-0211-ch121v5)";"14/04/23 22:38:43"
"srvvwsus";"true";"ZGKK171";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//  BOGOTÁ DC // DC INVIMA // SERVICIOS ESPECIALES DATACENTER (SERVICIOS ADMINISTRADOS IT)";"";"22/04/23 20:44:00"
"gdu0053";"true";"GDU0053";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COMERCIAL CORP  // HOSTING (HOSTING VIRTUAL) // DC TRIARA  // CALI";"CLT114_TRI_DED_GRUPOAVAL001_FP | Virtualization Layer Software (d-tfm1671-fbc30-1310-bl460cg9)";"29/03/23 22:33:55"
"y2sqlbobi";"true";"UEV0150";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP//  BOGOTA // DC TRIARA // HOSTING (HOSTING VIRTUAL) //";"CLT309_TRI_COM_OCTADECACORE05_ACI | Virtualization Layer Software (d-tfm3142-fbe38-0208-sn550g2)";"17/04/23 22:33:39"
"deimos";"true";"KFFT237";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTÁ DC // DC TRIARA // HOSTING (HOSTING VIRTUAL)";"CLT310_TRI_COM_OCTADECACORE06_ACI | Virtualization Layer Software (c-tfm3144-fbe38-0210-sn550g2)";"20/02/23 22:37:26"
"srvserviapsis";"true";"CSP0020";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COMERCIAL CORP // CORREO //  BOGOTA TRIARA // HOSTING";"CLT313_TRI_COM_OCTADECACORE08_ACI | Virtualization Layer Software (c-tfm4076-gai12-0204-ch121v5)";"17/02/23 22:35:19"
"amazonas";"true";"CCFCC68";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERCIAL CORP // BOGOTA //  TRIARA BOG  // HOSTING (HOSTING VIRTUAL) /";"CLT001_COMFENALCO_TRIARA | Virtualization Layer Software (c-tfm3934-gax15-0202-ch121v5)";"22/04/23 21:15:01"
"carina";"true";"TMP0685";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTA  // LOTTO2+FICUS MV //HOSTING (HOSTING VIRTUAL)";"CLT140_TRI_DED_GRUPOAVAL006_FP | Virtualization Layer Software (d-tfm3991-cv20-0210-ch12v5)";"24/03/23 22:37:57"
"agc-sqltestapps";"true";"AUO0164";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP // BOGOTA //  TRIARA //  SERVICIOS ESPECIALES DATACENTER (SERVICIOS PROFESIONALES IT)";"CLT314_TRI_COM_OCTADECACORE09_ACI_ADD | Virtualization Layer Software";"17/04/23 22:39:07"
"triopheliakactus1";"true";"OCH0078";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP//BOGOTA //TRIARA // HOSTING (HOSTING VIRTUAL) //FO";"CLT314_TRI_COM_OCTADECACORE09_ACI_ADD | Virtualization Layer Software (c-tfm4567-gbd15-22-sr645)";"16/03/23 22:37:34"
"ssaby49";"true";"SSABY49";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP// SIBERIA // DACENTER TRIARA // HOSTING (HOSTING VIRTUAL) //   DATACENTER SECURID TRIARA //";"CLT313_TRI_COM_OCTADECACORE08_ACI | Virtualization Layer Software (c-tfm4074-gai12-0202-ch121v5)";"17/02/23 22:41:33"
"cecosvc-trifs02";"true";"SQD0122";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COMERCIAL CORP // CORREO ///SIBERIA// DATACENTER TRIARA// HOSTING (HOSTING VIRTUAL)// SERVIDOR FILE SERVER WINDOWS";"CLT305_TRI_COM_OCTADECACORE_FP | Virtualization Layer Software (c-tfm2052-far30-0406-ch121v3)";"17/04/23 22:33:35"
"hera";"true";"GEG0104";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERCIAL CORP//CORREO//HOSTING (HOSTING VIRTUAL)//DATACENTER TRIARA//SIBERIA//DATACENTER TRIARA    GEG0104";"CLT305_TRI_COM_OCTADECACORE_FP | Virtualization Layer Software (c-tfm1884-far30-0411-ch121v3.datacenterdhs.local)";"18/02/23 21:12:17"
"prv0466";"true";"PRV1023";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP. COMERCIAL CORP. // CORREO // Bogotá // Ortezal // HOSTING";"CLT101_ORT_DED_AVALIPAG9 | Virtualization Layer Software (d-tfm1674-ad06-2304-bl460cg9.datacenterdhs.local)";"18/02/23 21:09:07"
"ap-athenea-int";"true";"POH0040";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTA // DATACENTER TRIAR  // HOSTING (HOSTING VIRTUAL) //AUTOMATICO MASIVO INCIDENTES";"CLT313_TRI_COM_OCTADECACORE08_ACI | Virtualization Layer Software (c-tfm4076-gai12-0204-ch121v5)";"11/04/23 22:31:54"
"wgraprod02";"true";"TQRT367";"Windows";"Datacenter - Admin Microsoft";"(activo)";"CORE";"TARIFICADOR PCSISTEL: ACTUALIZACION SO - TELEFONIA ORTEZAL";"CLT202_TELEFONIAB200M3_ORTEZAL | Virtualization Layer Software (d-tti1366-oax03-1702-b200m3)";"18/02/23 21:09:25"
"tfm0461";"true";"TFM0461";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"CI_MSFTVISEG01";"";"22/04/23 20:44:46"
"prdpvwptermbd";"true";"ZBHB221";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//MEDELLÍN//DATACENTER EL POBLADO, GTD COLOMBIA, CRA. 45 #14 -111//SERVICIOS ESPECIALES DATACENTER (SERVIDORES VIRTUALES)//NO APLICA";"CLT001_PREVISORA_TRIARA | Virtualization Layer Software (d-zbhb438-gaf03-27-dl360g10)";"21/03/23 22:40:54"
"bareinnomp1";"true";"TFM2123";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"CI_PROYECTO_GESTIÓN_Y_MONITOREO_PROY_SOC_VIRTUAL_6";"CLT212_TRI_INT_GESTION_MONITOREO | Virtualization Layer Software (d-tfm2014-ef26-3536-rh2288v3)";"20/04/23 22:35:31"
"icoldata02n";"true";"IOD0159";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERCIAL CORP//CORREO//HOSTING (HOSTING VIRTUAL)-//DATACENTER TRIARA//BOGOTA // REEMPLAZO DE OT  12326862";"CLT306_TRI_COM_OCTADECACORE02_FP | Virtualization Layer Software (c-tfm2438-eq18-0209-ch121v3.datacenterdhs.local)";"17/02/23 22:39:22"
"capa-serv1";"true";"FQA0174";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP// BOGOTÁ DC // DATACENTER TRIARA // HOSTING (HOSTING VIRTUAL)";"CLT142_TRI_DED_COREC1_ACI | Virtualization Layer Software (d-fqa0151-gbc15-22-2288hv5)";"17/04/23 22:45:10"
"ap-athenea-web2";"true";"POH0038";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTA // DATACENTER TRIAR  // HOSTING (HOSTING VIRTUAL) //AUTOMATICO MASIVO INCIDENTES";"CLT313_TRI_COM_OCTADECACORE08_ACI | Virtualization Layer Software (c-tfm4075-gai12-0203-ch121v5)";"11/04/23 22:36:47"
"cgcocavds20";"true";"TKJY015";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP  // BOGOTA // DC TRIARA // HOSTING (HOSTING DEDICADO) // N/A //AUTOMATICO MASIVO INCIDENTES";"CLT314_TRI_COM_OCTADECACORE09_ACI_ADD | Virtualization Layer Software";"15/04/23 21:10:01"
"agi-myeng02st02";"true";"AUO0123";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP  // BOGOTA // TRIARA // HOSTING (HOSTING VIRTUAL) //  //AUTOMATICO MASIVO INCIDENTES";"CLT314_TRI_COM_OCTADECACORE09_ACI_ADD | Virtualization Layer Software";"17/02/23 22:39:07"
"ajax";"true";"FLP0122";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERCIAL CORPO // CORREO //   HOSTING (HOSTING VIRTUAL)//NO APLICA//BOGOTÁ//TRIARA";"CLT306_TRI_COM_OCTADECACORE02_FP | Virtualization Layer Software (c-tfm2454-cn05-0214-ch121v3)";"10/04/23 22:43:59"
"srvbackdev-labgea1";"true";"TFM3233";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERCIALCORPO // CORREO //BOGOTÁ //TRIARA //HOSTING (Hosting Dedicado) //TFMX019";"CLT307_TRI_COM_OCTADECACORE03_FP | Virtualization Layer Software (c-tfm3083-cn05-0215-ch121v5.datacenterdhs.local)";"18/02/23 21:11:13"
"pr0980sql_1";"true";"ZBHB191";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//MEDELLÍN//DATACENTER EL POBLADO, GTD COLOMBIA, CRA. 45 #14 -111//SERVICIOS ESPECIALES DATACENTER (SERVIDORES VIRTUALES)//NO APLICA";"CLT001_PREVISORA_TRIARA | Virtualization Layer Software (d-zbhb422-gae03-29-dl360g10)";"21/03/23 22:41:29"
"wipaexchanprd01";"true";"SAS0254";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"WIPAEXCHANGE01";"CLT126_TRI_DED_GRUPOAVAL004_FP | Virtualization Layer Software (d-tfm4559-cv20-0213-ch121v3)";"17/04/23 22:34:52"
"cctrps02";"true";"DHO0020";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COMERCIAL CORP // CORREO //  BOGOTÁ //TRIARA // HOSTING// Excluidos // Hosting";"";"17/02/23 21:29:07"
"protagoras";"true";"FLP0099";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERCIAL CORPO // CORREO //   HOSTING (Hosting Virtual)//No Aplica//Medellín//Megacenter";"CLT306_TRI_COM_OCTADECACORE02_FP | Virtualization Layer Software (c-tfm2453-eq18-0202-ch121v3.datacenterdhs.local)";"17/02/23 22:37:14"
"tfm0810";"true";"TFM0810";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"CI - App Tier SM 1";"";"12/04/23 21:10:32"
"prdpvwpdigwb5";"true";"ZBHB100";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//MEDELLÍN//DATACENTER EL POBLADO, GTD COLOMBIA, CARRERA 45 #14 -111//SERVICIOS ESPECIALES DATACENTER (SERVIDORES VIRTUALES)//NO APLICA // REEMPLAZO DE OT 16397441";"CLT001_PREVISORA_TRIARA | Virtualization Layer Software (d-zbhb424-gaf03-28-dl360g10)";"10/04/23 22:37:53"
"tfm0457";"true";"TFM0457";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"CI_MSBD VideoSeg Central - TFM0457";"";"18/02/23 20:10:46"
"srvvsandiego";"true";"ZGKK202";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//  BOGOTÁ DC // DC INVIMA // SERVICIOS ESPECIALES DATACENTER (SERVICIOS ADMINISTRADOS IT)";"";"22/04/23 20:43:48"
"vmprobina";"true";"UCS0082";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"DLok - Servicio de virtualizacion producción principal (TRIARA)";"CLT112_TRI_DED_CONSORCIOPRODUCCION | Virtualization Layer Software (d-d-cme0294-em18-0202-bl460cg9)";"19/04/23 22:47:44"
"fidubots01";"true";"SFD0107";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COMERCIAL // CORREO // BOGOTA *// Datacenter TRIARA // HOSTING (Hosting Virtual)";"CLT127_TRI_DED_FIDUAGRARIA_FP | Virtualization Layer Software (d-sfd0085-eq18-0210-ch121v3)";"17/02/23 22:36:39"
"srvvsharepointcont";"true";"ZGKK248";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//  BOGOTÁ DC // DC INVIMA // SERVICIOS ESPECIALES DATACENTER (SERVICIOS ADMINISTRADOS IT)";"";"22/04/23 20:44:48"
"srv-bd-ind-rep";"true";"OFB0054";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP  // ARMENIA // AVENIDA CENTENARIO CARRERA 6 A NO 2-63 (CANAL PRINCIPAL CLARO) // SERVICIOS ESPECIALES DATACENTER (SERVICIOS ADMINISTRADOS IT) // REMPLAZO DE OT 17174060 //AUTOMATICO MASIVO INCIDENTES";"CLT157_TRI_DED_ONCOLOGOS | Virtualization Layer Software (sv-arm-wsus)";"17/02/23 22:37:24"
"impsrvmark";"true";"TMP0745";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTA //HOSTING VIRTUAL TRIARA // MV IMPRESIÓN IMPSRVMARK";"CLT153_TRI_DED_GRUPOAVAL008_IPA | Virtualization Layer Software";"18/02/23 21:13:57"
"spica";"true";"TMP0686";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTA  // KINGA2 MV //HOSTING (HOSTING VIRTUAL)";"CLT140_TRI_DED_GRUPOAVAL006_FP | Virtualization Layer Software (d-tfm3990-cv20-0209-ch121v5)";"10/03/23 22:38:51"
"dpvmxpv02";"true";"DFJ0186";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COMERCIAL CORP / BOGOTA / TRIARA /  SERVICIOS ESPECIALES DATACENTER /  IaaS /   PROYECTO PRC 1125";"";"22/04/23 20:46:49"
"prdpvwts3gr2ap1";"true";"ZBHB348";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//BOGOTÁ//DATACENTER TRIARA, KM. 7.5 VÍA SIBERIA CELTA TRADE PARK (FUNZA, CUNDINAMARCA)//SERVICIOS ESPECIALES DATACENTER (SERVIDORES VIRTUALES)//NO APLICA";"CLT001_PREVISORA_TRIARA | Virtualization Layer Software (d-zbhb420-gae03-27-dl360g10)";"21/03/23 22:42:35"
"dpvmcde01";"true";"DFJ0222";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COMERCIAL CORP / BOGOTA / TRIARA /  SERVICIOS ESPECIALES DATACENTER /  IaaS /   PROYECTO PRC 1125";"";"22/04/23 20:44:24"
"jr0402-03";"true";"FQA0207";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP// BOGOTÁ DC // DATACENTER TRIARA // HOSTING (HOSTING VIRTUAL)";"CLT142_TRI_DED_COREC1_ACI | Virtualization Layer Software (d-fqa0152-gbd15-18-2288hv5)";"17/02/23 22:40:21"
"findb";"true";"SQH0213";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOAV CORP/ HOSTING Triara / Bogota  / SQH0213";"CLT138_TRI_DED_SPN472_ACI | Virtualization Layer Software (d-sqh0414-fau38-18-r640)";"07/03/23 22:33:15"
"vmptrebol";"true";"UCS0082";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"DLok - Servicio de virtualizacion producción principal (TRIARA)";"CLT102_CLI_DED_CONSORCIOCRA69_FP | Virtualization Layer Software";"18/02/23 21:05:28"
"agipdesa1";"true";"TFM0823";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"CI - DDM 3";"";"18/02/23 20:03:16"
"xenapp301";"true";"TMP0501";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COMERCIAL CORP // CORREO // BOGOTA// SERVIDOR VIRTUAL XENAPP4 - CITRIX// HOSTING (HOSTING VIRTUAL)";"CLT115_TRI_DED_GRUPOAVAL002 _FP | Virtualization Layer Software";"18/02/23 21:09:24"
"hcu0032";"true";"HCU0032";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // SAP 6000003818 // Hosting TRIARA";"CLT313_TRI_COM_OCTADECACORE08_ACI | Virtualization Layer Software (c-tfm4073-gai12-0201-ch121v5)";"18/02/23 21:12:57"
"gir-icon1-2";"true";"TFM4593";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"CI_PROYECTO_MIGRACIÓN_SERVIDORES_PROYECTO_PCCAAS_2008_VIRTUAL_9";"CLT220_TRI_INT_PCAAS | Virtualization Layer Software (d-tfm3753-gah12-0201-sn550g2)";"14/04/23 22:31:30"
"clabogceosqls2";"true";"EZW0017";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"** IPA CLABOGCEOSQLS2 - EZW0017";"CLT114_TRI_DED_GRUPOAVAL001_FP | Virtualization Layer Software (d-tfm1671-fbc30-1310-bl460cg9)";"17/02/23 22:36:57"
"fpsiterp2";"true";"FLP0042";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERCIAL CORPO // CORREO //   HOSTING (HOSTING VIRTUAL)//NO APLICA//MEDELLÍN//MEGACENTER";"CLT306_TRI_COM_OCTADECACORE02_FP | Virtualization Layer Software (c-tfm2440-cn05-0213-ch121v3.datacentedhs.local)";"17/02/23 22:36:55"
"wpollerprod20";"true";"ZAZ0129";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"CI_PROYECTO_MIGRACION_SERVIDORES_WINDOWS_OBSOLETOS_VIRTUAL_2";"CLT232_TRI_INT_INFRAESTRUCTURA_OSS | Virtualization Layer Software (d-tfm4493-if316-33-1288hv5)";"20/03/23 22:42:37"
"wipaapprduni01";"true";"SAS0159";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP , CORREO // BOGOTA // MV APP UNICLASS - PRODUCCIÓN // MV APP UNICLASS - PRODUCCIÓN // HOSTING (HOSTING VIRTUAL) //";"CLT126_TRI_DED_GRUPOAVAL004_FP | Virtualization Layer Software (d-tfm4560-cv20-0208-ch121v3)";"17/04/23 22:36:10"
"cxcappru";"true";"ZBND007";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP// MEDELLIN // DATACENTER MEGACENTER - CLARO // HOSTING (HOSTING VIRTUAL) //";"CLT301_MGC_COM_OCTADECACORE | Virtualization Layer Software (c-tfm2442-2nn09-0202-ch121v3)";"18/02/23 21:07:08"
"prdpfteliptar";"true";"ZBHB442";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP  // BOGOTA // DATACENTER TRIARA, KM. 7.5 VÍA SIBERIA CELTA TRADE PARK (FUNZA, CUNDINAMARCA) // SERVICIOS ESPECIALES DATACENTER (SERVICIOS ADMINISTRADOS IT) //  //AUTOMATICO MASIVO INCIDENTES";"";"12/04/23 21:10:26"
"prdpvwpnasfs4n";"true";"ZBHB309";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//BOGOTÁ//DATACENTER TRIARA, KM. 7.5 VÍA SIBERIA CELTA TRADE PARK (FUNZA, CUNDINAMARCA)//SERVICIOS ESPECIALES DATACENTER (SERVIDORES VIRTUALES)//NO APLICA";"CLT001_PREVISORA_TRIARA | Virtualization Layer Software (d-zbhb420-gae03-27-dl360g10)";"21/03/23 22:35:52"
"sipostapp3n";"true";"SQH0102";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOAV CORP// MAIL// SERVIDOR VIRTUAL 7 - TRIARA // SIPOSTAPP3";"CLT137_TRI_DED_SPN472_ACI | Virtualization Layer Software (d-sqh0416-faz05-28-r640)";"11/03/23 21:04:23"
"unified-engage";"true";"VDI0159";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // Servidor UNIFIED NIM NICE - Grabación HA // HOSTING";"CLT116_TRI_DED_GRUPOAVAL003 | Virtualization Layer Software";"18/02/23 21:12:01"
"hsjservercompo1";"true";"EVN0024";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERICAL CORPO  // CORREO BOGOTA //TRIARA  //HOSTING (HOSTING VIRTUAL)";"CLT307_TRI_COM_OCTADECACORE03_FP | Virtualization Layer Software";"24/03/23 22:35:49"
"centauro";"true";"TMP0657";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTA  // LOTTO1+FRESNO MV //HOSTING (HOSTING VIRTUAL)";"CLT140_TRI_DED_GRUPOAVAL006_FP | Virtualization Layer Software (d-tfm3990-cv20-0209-ch121v5)";"20/02/23 11:10:34"
"prdpvwts3gr2pe4";"true";"ZBHB359";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//BOGOTÁ//DATACENTER TRIARA, KM. 7.5 VÍA SIBERIA CELTA TRADE PARK (FUNZA, CUNDINAMARCA)//SERVICIOS ESPECIALES DATACENTER (SERVIDORES VIRTUALES)//NO APLICA";"";"22/04/23 20:42:29"
"srvvconserver";"true";"ZGKK298";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//  BOGOTÁ DC // DC INVIMA // SERVICIOS ESPECIALES DATACENTER (SERVICIOS ADMINISTRADOS IT)";"";"22/04/23 20:44:53"
"cronos";"true";"GEG0053";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOAV CORP // HOSTING // TRIARA  Maquina Virtual  1 ARES (MV) 3VCPU 2Ghz RAM 16GB / GEG0053";"CLT310_TRI_COM_OCTADECACORE06_ACI | Virtualization Layer Software";"18/02/23 21:12:54"
"vdi0187";"true";"VDI0187";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP. COMERCIAL CORP. // CORREO // BOGOTÁ // Carrera 7 No 33-42 Mezanine // HOSTING DEDICADO";"CLT104_CLI_DED_CASADEBOLSACENTROINTBOG_FP | Virtualization Layer Software";"08/03/23 22:30:55"
"airnew";"true";"VDI0215";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"** CASA DE BOLSA GRABADOR AIR REIMPLEMENTACION";"CLT116_TRI_DED_GRUPOAVAL003 | Virtualization Layer Software";"17/02/23 22:34:53"
"thor";"true";"KFFT115";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERCIAL CORPO // CORREO  // BOGOTA // TRIARA // HOSTING (HOSTING VIRTUAL) // HOSTING VIRTUAL - 12VCPU – 24 GB EN RAM - INCLUYE LINUX REDHAT ENTERPRISE (INGLÉS) ÚLTIMA VERSIÓN ESTABLE DISPONIBLE EN EL MERCADO.";"CLT308_TRI_COM_OCTADECACORE04_FP | Virtualization Layer Software (c-tfm2534-cn05-0204-ch121v5.datacenterdhs.local)";"17/02/23 22:34:15"
"cctrws05";"true";"DHO0047";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COMERCIAL CORP // CORREO //  BOGOTA // TRIARA // HOSTING (HOSTING VIRTUAL)";"CLT118_TRI_DED_COLSANITAS | Virtualization Layer Software (d-dho0015-faz13-1209-bl460g10.datacenterdhs.local)";"17/02/23 22:34:03"
"ad1ventas";"true";"TFM4594";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"CI_PROYECTO_MIGRACIÓN_SERVIDORES_PROYECTO_PCCAAS_2008_VIRTUAL_10";"CLT220_TRI_INT_PCAAS | Virtualization Layer Software (d-tfm3759-gah12-0207-sn550g2)";"14/04/23 22:31:28"
"tarificador";"true";"FLP0241";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERCIAL CORPO // CORREO //    BOGOTÁ // TRIARA // HOSTING (HOSTING VIRTUAL)";"CLT309_TRI_COM_OCTADECACORE05_ACI | Virtualization Layer Software (d-tfm3143-fbe38-0209-sn550g2)";"17/02/23 22:41:28"
